ticker,name,composite_score,grade,sd_score,inst_score,tech_score,fund_score,analyst_score,rs_score,current_price,target_upside,rank
BALL,Ball Corporation,79.1,A (Buy),95,70,68,75,75,90,67.76,3.5,1
CF,"CF Industries Holdings, Inc.",77.8,A (Buy),80,65,90,90,50,83,96.31,-5.3,2
MRK,"Merck & Co., Inc.",77.8,A (Buy),90,70,73,75,75,80,117.15,5.5,3
CTRA,Coterra Energy Inc.,77.6,A (Buy),90,65,68,85,75,83,30.56,7.5,4
FITB,Fifth Third Bancorp,77.6,A (Buy),85,60,83,75,75,90,54.5,4.9,5
HBAN,Huntington Bancshares Incorporated,77.1,A (Buy),85,60,83,80,80,73,18.57,10.4,6
DTE,DTE Energy Company,76.8,A (Buy),75,70,90,80,75,65,137.84,6.9,7
DVN,Devon Energy Corporation,76.8,A (Buy),90,65,68,75,75,90,43.48,9.3,8
GILD,"Gilead Sciences, Inc.",76.1,A (Buy),85,70,68,75,70,90,147.23,-1.0,9
ROST,"Ross Stores, Inc.",76.0,A (Buy),75,70,90,70,75,73,192.33,3.4,10
FDX,FedEx Corporation,75.8,A (Buy),90,70,68,75,55,90,367.95,-10.6,11
WM,"Waste Management, Inc.",75.8,A (Buy),85,70,80,65,75,73,231.72,8.6,12
IEX,IDEX Corporation,75.8,A (Buy),95,65,68,60,75,90,214.58,4.2,13
VZ,Verizon Communications Inc.,75.6,A (Buy),85,65,68,75,75,90,47.39,4.1,14
MOS,The Mosaic Company,75.6,A (Buy),75,65,73,85,75,90,30.12,7.2,15
CMCSA,Comcast Corporation,75.3,A (Buy),85,70,68,80,55,90,32.31,2.3,16
TER,"Teradyne, Inc.",75.3,A (Buy),95,65,68,60,70,90,304.89,-1.1,17
OKE,"ONEOK, Inc.",75.3,A (Buy),85,60,68,80,75,90,83.46,4.6,18
KEY,KeyCorp,75.3,A (Buy),80,70,73,75,75,80,22.94,6.6,19
JNJ,Johnson & Johnson,75.1,A (Buy),85,65,68,75,70,90,238.35,-3.0,20
CL,Colgate-Palmolive Company,75.1,A (Buy),85,70,68,65,75,90,93.93,1.5,21
DE,Deere & Company,75.1,A (Buy),90,70,68,70,55,90,593.41,-11.0,22
PNC,"The PNC Financial Services Group, Inc.",75.1,A (Buy),75,70,73,75,75,90,240.33,3.5,23
T,AT&T Inc.,74.9,A (Buy),85,65,68,75,75,83,27.41,7.0,24
AMGN,Amgen Inc.,74.9,A (Buy),85,70,73,65,70,83,364.65,-5.7,25
PG,The Procter & Gamble Company,74.9,A (Buy),85,65,68,75,75,83,159.08,5.3,26
CB,Chubb Limited,74.9,A (Buy),85,70,68,75,75,73,326.25,3.1,27
BKR,Baker Hughes Company,74.8,A (Buy),85,65,68,70,75,90,59.15,1.0,28
LNT,Alliant Energy Corporation,74.8,A (Buy),80,65,83,75,75,65,68.01,6.5,29
CMI,Cummins Inc.,74.5,A (Buy),85,70,70,65,75,80,588.07,3.2,30
SYY,Sysco Corporation,74.3,A (Buy),80,65,68,75,75,90,87.62,2.6,31
MTB,M&T Bank Corporation,74.3,A (Buy),85,65,68,70,70,90,236.21,-1.7,32
EOG,"EOG Resources, Inc.",74.1,A (Buy),80,70,83,60,80,65,112.7,17.7,33
KMI,"Kinder Morgan, Inc.",74.1,A (Buy),85,65,68,70,75,83,31.01,2.9,34
WEC,"WEC Energy Group, Inc.",74.1,A (Buy),85,65,73,75,75,65,112.92,7.3,35
HUBB,Hubbell Incorporated,74.1,A (Buy),85,65,73,70,75,73,503.1,5.9,36
EQR,Equity Residential,73.9,A (Buy),80,70,73,70,75,73,65.57,6.6,37
ITW,Illinois Tool Works Inc.,73.8,A (Buy),90,70,68,65,50,90,294.25,-6.2,38
FE,FirstEnergy Corp.,73.8,A (Buy),70,65,90,75,75,65,47.66,5.4,39
AME,"AMETEK, Inc.",73.8,A (Buy),80,70,68,65,75,90,233.11,6.5,40
MAA,"Mid-America Apartment Communities, Inc.",73.8,A (Buy),85,65,90,55,75,58,136.45,7.2,41
TXT,Textron Inc.,73.7,A (Buy),75,65,83,75,75,66,95.87,2.0,42
NEE,"NextEra Energy, Inc.",73.6,A (Buy),85,70,68,65,75,75,90.83,2.0,43
MHK,"Mohawk Industries, Inc.",73.6,A (Buy),85,65,68,65,70,90,136.9,-1.3,44
TFC,Truist Financial Corporation,73.6,A (Buy),80,65,68,70,75,90,55.1,2.4,45
PPG,"PPG Industries, Inc.",73.6,A (Buy),85,65,68,75,70,75,129.14,-4.2,46
NOC,Northrop Grumman Corporation,73.5,A (Buy),75,70,70,75,75,80,685.0,5.8,47
REG,Regency Centers Corporation,73.4,A (Buy),85,65,68,65,75,83,77.07,3.9,48
MDLZ,"Mondelez International, Inc.",73.4,A (Buy),85,70,68,55,80,83,60.65,10.0,49
PFE,Pfizer Inc.,73.4,A (Buy),90,65,73,50,75,83,27.61,3.7,50
CFG,"Citizens Financial Group, Inc.",73.3,A (Buy),75,65,73,70,75,90,67.55,7.6,51
UNP,Union Pacific Corporation,73.3,A (Buy),85,65,68,60,75,90,261.32,1.2,52
EIX,Edison International,73.1,A (Buy),75,70,68,80,75,73,65.46,2.6,53
RMD,ResMed Inc.,72.9,A (Buy),80,60,83,70,80,58,263.54,12.9,54
USB,U.S. Bancorp,72.8,A (Buy),70,70,68,75,75,90,60.55,4.7,55
IR,Ingersoll Rand Inc.,72.8,A (Buy),90,65,73,45,70,90,97.8,-7.8,56
RF,Regions Financial Corporation,72.8,A (Buy),85,65,68,80,50,80,30.82,-0.5,57
CI,The Cigna Group,72.7,A (Buy),70,70,73,80,80,66,287.81,15.1,58
SPG,"Simon Property Group, Inc.",72.6,A (Buy),70,70,68,85,75,73,196.3,2.5,59
GNRC,Generac Holdings Inc.,72.6,A (Buy),80,65,83,45,80,83,182.3,11.3,60
CARR,Carrier Global Corporation,72.6,A (Buy),90,70,68,45,75,83,65.82,9.2,61
CSCO,"Cisco Systems, Inc.",72.6,A (Buy),75,70,68,65,75,90,86.29,1.0,62
PEP,"PepsiCo, Inc.",72.6,A (Buy),90,65,68,65,55,83,166.97,1.3,63
EMN,Eastman Chemical Company,72.6,A (Buy),90,65,68,50,70,90,80.59,-5.4,64
AES,The AES Corporation,72.4,A (Buy),80,65,68,70,70,83,16.25,-4.4,65
ALLE,Allegion plc,72.4,A (Buy),80,65,68,80,55,83,178.94,1.3,66
KO,The Coca-Cola Company,72.4,A (Buy),85,65,68,65,75,73,76.81,5.5,67
CME,CME Group Inc.,72.4,A (Buy),90,70,68,60,50,83,306.76,-3.3,68
AOS,A. O. Smith Corporation,72.3,A (Buy),85,65,68,70,50,90,80.47,-1.4,69
COP,ConocoPhillips,72.3,A (Buy),80,70,68,55,75,90,107.5,6.8,70
GLW,Corning Incorporated,72.3,A (Buy),85,70,68,60,55,90,128.1,-10.6,71
GEV,GE Vernova Inc.,72.3,A (Buy),80,70,68,55,75,90,790.79,4.5,72
PSA,Public Storage,72.3,A (Buy),75,70,83,60,75,65,292.33,4.4,73
CSX,CSX Corporation,72.3,A (Buy),85,70,68,50,70,90,40.9,-2.6,74
STX,Seagate Technology Holdings plc,72.2,A (Buy),80,65,70,55,80,90,396.23,18.0,75
JCI,Johnson Controls International plc,72.2,A (Buy),85,70,68,50,75,83,138.75,2.4,76
CLX,The Clorox Company,72.1,A (Buy),90,65,68,60,50,90,121.45,-0.8,77
XOM,Exxon Mobil Corporation,72.1,A (Buy),85,65,68,55,70,90,151.59,-7.0,78
CPT,Camden Property Trust,72.1,A (Buy),75,65,90,55,75,66,110.41,4.5,79
TDY,Teledyne Technologies Incorporated,72.1,A (Buy),75,70,73,55,75,90,659.92,2.1,80
DUK,Duke Energy Corporation,72.1,A (Buy),80,65,73,70,75,65,123.64,8.7,81
MSI,"Motorola Solutions, Inc.",71.9,A (Buy),85,70,68,65,60,73,419.69,16.3,82
FANG,"Diamondback Energy, Inc.",71.9,A (Buy),75,60,73,85,55,83,164.89,9.9,83
DRI,"Darden Restaurants, Inc.",71.9,A (Buy),65,65,83,75,75,73,210.24,5.8,84
HST,"Host Hotels & Resorts, Inc.",71.9,A (Buy),80,65,68,70,75,73,19.93,1.2,85
MU,"Micron Technology, Inc.",71.8,A (Buy),80,70,55,75,75,80,373.25,2.4,86
TXN,Texas Instruments Incorporated,71.8,A (Buy),85,70,68,60,50,90,220.92,-1.0,87
HSY,The Hershey Company,71.8,A (Buy),95,65,68,50,50,90,229.0,-1.0,88
CDW,CDW Corporation,71.8,A (Buy),90,65,53,75,80,65,142.85,19.3,89
CAT,Caterpillar Inc.,71.8,A (Buy),75,65,68,70,70,90,742.37,-6.7,90
BMY,Bristol-Myers Squibb Company,71.8,A (Buy),80,70,68,75,50,80,60.86,-1.6,91
NUE,Nucor Corporation,71.8,A (Buy),80,65,73,55,70,90,191.99,-3.1,92
AEE,Ameren Corporation,71.8,A (Buy),65,65,83,80,75,65,105.78,5.6,93
AMCR,Amcor plc,71.7,A (Buy),80,60,68,65,80,83,48.53,13.8,94
CBOE,"Cboe Global Markets, Inc.",71.6,A (Buy),80,70,83,65,55,58,274.07,2.3,95
UPS,"United Parcel Service, Inc.",71.6,A (Buy),80,65,68,60,70,90,118.7,-4.7,96
LH,Labcorp Holdings Inc.,71.6,A (Buy),80,65,73,60,75,75,284.5,5.5,97
