ticker,institutional_pct,insider_pct,short_pct,float_shares_m,num_inst_holders,insider_buys,insider_sells,insider_sentiment,institutional_score,institutional_stage
A,92.62,0.18,1.6,282.64,10,0,0,Neutral,70,Strong Institutional Support
AAL,68.53,1.48,6.3,651.33,10,0,0,Neutral,60,Institutional Support
AAPL,65.09,1.7,0.77,14655.59,10,0,0,Neutral,65,Institutional Support
ABBV,75.55,0.1,1.25,1763.92,10,0,0,Neutral,65,Institutional Support
ABNB,85.17,1.49,4.05,409.7,10,0,0,Neutral,65,Institutional Support
ABT,81.66,0.54,1.15,1728.54,10,0,0,Neutral,70,Strong Institutional Support
ACGL,93.46,3.19,1.88,348.08,10,0,0,Neutral,70,Strong Institutional Support
ACN,82.65,0.07,2.31,614.19,10,0,0,Neutral,70,Strong Institutional Support
ADBE,87.64,0.22,2.92,409.22,10,0,0,Neutral,70,Strong Institutional Support
ADI,94.2,0.23,2.07,487.89,10,0,0,Neutral,70,Strong Institutional Support
ADM,86.37,0.64,3.92,480.25,10,0,0,Neutral,65,Institutional Support
ADP,87.21,0.15,2.04,401.74,10,0,0,Neutral,70,Strong Institutional Support
ADSK,95.93,0.21,2.59,211.48,10,0,0,Neutral,70,Strong Institutional Support
AEE,87.41,0.3,3.81,269.21,10,0,0,Neutral,65,Institutional Support
AEP,86.96,0.25,3.44,534.47,10,0,0,Neutral,65,Institutional Support
AES,90.76,0.46,3.44,708.05,10,0,0,Neutral,65,Institutional Support
AFL,60.56,10.83,1.39,514.51,10,0,0,Neutral,65,Institutional Support
AIG,100.47,0.25,1.88,538.0,10,0,0,Neutral,70,Strong Institutional Support
AIZ,96.46,0.62,2.55,49.79,10,0,0,Neutral,70,Strong Institutional Support
AJG,91.31,0.92,2.33,254.29,10,0,0,Neutral,70,Strong Institutional Support
AKAM,99.13,1.95,10.94,140.67,10,0,0,Neutral,55,Institutional Support
ALB,93.0,0.34,12.43,117.27,10,0,0,Neutral,55,Institutional Support
ALGN,96.2,6.76,3.45,67.15,10,0,0,Neutral,65,Institutional Support
ALL,82.48,0.55,2.67,258.63,10,0,0,Neutral,70,Strong Institutional Support
ALLE,99.04,1.16,3.45,84.79,10,0,0,Neutral,65,Institutional Support
AMAT,84.51,0.32,2.03,789.41,10,0,0,Neutral,70,Strong Institutional Support
AMCR,69.88,0.24,6.03,459.68,10,0,0,Unknown,60,Institutional Support
AMD,70.68,0.44,2.35,1621.41,10,0,0,Neutral,65,Institutional Support
AME,90.89,0.36,1.57,228.32,10,0,0,Neutral,70,Strong Institutional Support
AMGN,84.51,0.21,2.6,537.64,10,0,0,Neutral,70,Strong Institutional Support
AMP,90.81,0.18,3.66,92.51,10,0,0,Neutral,65,Institutional Support
AMT,94.88,0.15,1.63,466.77,10,0,0,Neutral,70,Strong Institutional Support
AMZN,66.62,9.14,0.81,9746.56,10,0,0,Neutral,65,Institutional Support
ANET,70.26,17.94,1.36,1041.5,10,0,0,Neutral,65,Institutional Support
ANSS,0.0,0.0,0.0,0.0,0,0,0,Unknown,45,Neutral
AON,87.5,3.04,0.92,207.65,10,0,0,Neutral,70,Strong Institutional Support
AOS,101.28,0.73,4.84,112.77,10,0,0,Neutral,65,Institutional Support
APA,99.38,0.43,10.88,352.42,10,0,0,Neutral,55,Institutional Support
APD,94.85,1.92,2.8,222.34,10,0,0,Neutral,70,Strong Institutional Support
APH,98.56,0.54,1.22,1217.74,10,0,0,Neutral,70,Strong Institutional Support
APTV,103.66,0.47,4.13,210.72,10,0,0,Neutral,65,Institutional Support
ARE,96.19,1.31,7.33,154.03,10,0,0,Neutral,65,Institutional Support
ATO,99.93,0.4,3.16,164.74,10,0,0,Neutral,65,Institutional Support
AVB,97.57,0.36,5.59,132.57,10,0,0,Neutral,65,Institutional Support
AVGO,79.24,2.01,1.39,405.87,10,0,0,Neutral,65,Institutional Support
AVY,97.99,0.81,2.88,76.76,10,0,0,Neutral,70,Strong Institutional Support
AWK,98.76,0.12,6.11,194.71,10,0,0,Neutral,65,Institutional Support
AXON,87.75,4.46,3.9,75.14,10,0,0,Neutral,65,Institutional Support
